# time   signal
0.000000000000000000e+00 9.676675141745573683e+01
3.095338983050847403e+01 9.931036310638697273e+01
6.190677966101694807e+01 1.026986030780523009e+02
9.286016949152542566e+01 1.041876410302144933e+02
1.238135593220338961e+02 1.085601025043133774e+02
1.547669491525423666e+02 9.568956415101986579e+01
1.857203389830508513e+02 9.355342805120110938e+01
2.166737288135593360e+02 9.926740249062243038e+01
2.476271186440677923e+02 1.071075634868277433e+02
2.785805084745762770e+02 9.141174063337574296e+01
3.095338983050847332e+02 9.642677699873246411e+01
3.404872881355932464e+02 9.974607082499619537e+01
3.714406779661017026e+02 9.276882565773007627e+01
4.023940677966101589e+02 1.008708143944304823e+02
4.333474576271186720e+02 1.029551772664535889e+02
4.643008474576270714e+02 1.053519192987663473e+02
4.952542372881355845e+02 1.024486029319918003e+02
5.262076271186440408e+02 1.049324405961650086e+02
5.571610169491525539e+02 9.879680869960981227e+01
5.881144067796609534e+02 9.128068824479292687e+01
6.190677966101694665e+02 9.225649239526063639e+01
6.500211864406779796e+02 9.373230660139978454e+01
6.809745762711864927e+02 1.002842472909131146e+02
7.119279661016948921e+02 9.669053740553060550e+01
7.428813559322034052e+02 1.017127482947215498e+02
7.738347457627118047e+02 1.041605560611867958e+02
8.047881355932203178e+02 1.090022749654681178e+02
8.357415254237288309e+02 1.100188051925951385e+02
8.666949152542373440e+02 1.114657395536381443e+02
8.976483050847458571e+02 1.030927519737014961e+02
9.286016949152541429e+02 1.005604344675523976e+02
9.595550847457627697e+02 1.023703104590700406e+02
9.905084745762711691e+02 8.701627894960120102e+01
1.021461864406779569e+03 9.404120398825112659e+01
1.052415254237288082e+03 9.790949681511401081e+01
1.083368644067796595e+03 1.107173011815659294e+02
1.114322033898305108e+03 9.642842756377839919e+01
1.145275423728813621e+03 1.012789087554272953e+02
1.176228813559321907e+03 1.087641553763723863e+02
1.207182203389830647e+03 9.913529147033568734e+01
1.238135593220338933e+03 1.053102168776948417e+02
1.269088983050847446e+03 9.488119487454389400e+01
1.300042372881355959e+03 9.731683904598801860e+01
1.330995762711864245e+03 9.600794952610796429e+01
1.361949152542372985e+03 9.874498707341871295e+01
1.392902542372881271e+03 9.522493781517545131e+01
1.423855932203389784e+03 9.623739867365866019e+01
1.454809322033898297e+03 1.002139259221115282e+02
1.485762711864406810e+03 8.918641751746395130e+01
1.516716101694915324e+03 1.026776428118667042e+02
1.547669491525423609e+03 1.122873654675083372e+02
1.578622881355932350e+03 1.058035788988637762e+02
1.609576271186440636e+03 9.970620907484590134e+01
1.640529661016949149e+03 1.006401546272929579e+02
1.671483050847457662e+03 1.010499101911862567e+02
1.702436440677965948e+03 9.130238727902525397e+01
1.733389830508474688e+03 9.090970415570515684e+01
1.764343220338982974e+03 1.022975663047176909e+02
1.795296610169491714e+03 1.012518407746004527e+02
1.826250000000000000e+03 9.754469532280431565e+01
