# time   signal
0.000000000000000000e+00 1.007971914225264669e+02
3.095338983050847403e+01 1.007368331655740548e+02
6.190677966101694807e+01 1.013964611051480631e+02
9.286016949152542566e+01 1.127490270339605019e+02
1.238135593220338961e+02 1.040369216356979507e+02
1.547669491525423666e+02 1.001558973484044515e+02
1.857203389830508513e+02 1.059805236373169066e+02
2.166737288135593360e+02 9.889433016136567289e+01
2.476271186440677923e+02 9.083733107594959222e+01
2.785805084745762770e+02 9.298089420208560796e+01
3.095338983050847332e+02 9.807950467698363184e+01
3.404872881355932464e+02 9.837957620474925591e+01
3.714406779661017026e+02 1.130300115916215020e+02
4.023940677966101589e+02 1.022637024991785211e+02
4.333474576271186720e+02 1.023849529077104705e+02
4.643008474576270714e+02 9.922603018614080383e+01
4.952542372881355845e+02 9.863553181399772996e+01
5.262076271186440408e+02 1.129744875474241468e+02
5.571610169491525539e+02 9.744448513255758826e+01
5.881144067796609534e+02 9.616439142814276408e+01
6.190677966101694665e+02 9.072200993968237981e+01
6.500211864406779796e+02 9.775103390209422116e+01
6.809745762711864927e+02 9.082676516039320802e+01
7.119279661016948921e+02 1.037335335547220865e+02
7.428813559322034052e+02 9.954903181503603093e+01
7.738347457627118047e+02 9.985031754186618969e+01
8.047881355932203178e+02 1.018712005255539594e+02
8.357415254237288309e+02 9.636393831475849936e+01
8.666949152542373440e+02 9.904866016726880673e+01
8.976483050847458571e+02 9.838832406770970351e+01
9.286016949152541429e+02 1.017574312254426729e+02
9.595550847457627697e+02 9.620899514244995032e+01
9.905084745762711691e+02 8.895070688193936803e+01
1.021461864406779569e+03 9.845360945629037985e+01
1.052415254237288082e+03 1.019504629464841940e+02
1.083368644067796595e+03 1.042384481328875125e+02
1.114322033898305108e+03 1.036956203756548263e+02
1.145275423728813621e+03 9.902363408409460988e+01
1.176228813559321907e+03 1.017275220271072413e+02
1.207182203389830647e+03 1.143264068391418391e+02
1.238135593220338933e+03 9.897500523318082344e+01
1.269088983050847446e+03 1.091376575002699667e+02
1.300042372881355959e+03 9.510333666028465416e+01
1.330995762711864245e+03 9.254186072872364832e+01
1.361949152542372985e+03 1.070307484984578110e+02
1.392902542372881271e+03 9.270194621467014429e+01
1.423855932203389784e+03 9.886832249369697934e+01
1.454809322033898297e+03 1.010748843289901799e+02
1.485762711864406810e+03 1.025592023049742778e+02
1.516716101694915324e+03 1.086310260970618629e+02
1.547669491525423609e+03 9.469829830101058121e+01
1.578622881355932350e+03 1.058651893343086954e+02
1.609576271186440636e+03 1.014337943519352052e+02
1.640529661016949149e+03 9.256888376409986563e+01
1.671483050847457662e+03 9.690321544650996088e+01
1.702436440677965948e+03 9.775116749186553022e+01
1.733389830508474688e+03 1.083386500590812460e+02
1.764343220338982974e+03 9.967156674004981198e+01
1.795296610169491714e+03 9.587365714332179323e+01
1.826250000000000000e+03 1.050744163026108708e+02
